,X,Y,Phiw
0,0.0,0.0,0.8
1,0.03344481605351575,0.0,0.8
2,0.06688963210702241,0.0,0.8
3,0.10033444816053816,0.0,0.8
4,0.13377926421404482,0.0,0.8
5,0.16722408026756055,0.0,0.8
6,0.2006688963210672,0.0,0.8
7,0.23411371237458298,0.0,0.8
8,0.26755852842808964,0.0,0.8
9,0.3010033444816054,0.0,0.8
10,0.3344481605351211,0.0,0.8
11,0.3678929765886278,0.0,0.8
12,0.40133779264214353,0.0,0.8
13,0.4347826086956502,0.0,0.8
14,0.46822742474916595,0.0,0.8
15,0.5016722408026726,0.0,0.8
16,0.5351170568561884,0.0,0.8
17,0.5685618729096951,0.0,0.8
18,0.6020066889632107,0.0,0.8
19,0.6354515050167265,0.0,0.8
20,0.6688963210702332,0.0,0.8
21,0.7023411371237489,0.0,0.8
22,0.7357859531772556,0.0,0.8
23,0.7692307692307714,0.0,0.8
24,0.802675585284278,0.0,0.8
25,0.8361204013377938,0.0,0.8
26,0.8695652173913004,0.0,0.8
27,0.9030100334448161,0.0,0.8
28,0.9364548494983319,0.0,0.8
29,0.9698996655518386,0.0,0.8
30,1.0033444816053543,0.0,0.8
31,1.0367892976588609,0.0,0.8
32,1.0702341137123768,0.0,0.8
33,1.1036789297658833,0.0,0.8
34,1.137123745819399,0.0,0.8
35,1.1705685618729058,0.0,0.8
36,1.2040133779264215,0.0,0.8
37,1.2374581939799372,0.0,0.8
38,1.270903010033444,0.0,0.8
39,1.3043478260869596,0.0,0.8
40,1.3377926421404664,0.0,0.8
41,1.3712374581939821,0.0,0.8
42,1.4046822742474887,0.0,0.8
43,1.4381270903010046,0.0,0.8
44,1.4715719063545112,0.0,0.8
45,1.5050167224080269,0.0,0.8
46,1.5384615384615428,0.0,0.8
47,1.5719063545150493,0.0,0.8
48,1.605351170568565,0.0,0.8
49,1.6387959866220718,0.0,0.8
50,1.6722408026755875,0.0,0.8
51,1.705685618729094,0.0,0.8
52,1.73913043478261,0.0,0.8
53,1.7725752508361166,0.0,0.8
54,1.8060200668896322,0.0,0.8
55,1.8394648829431481,0.0,0.8
56,1.8729096989966547,0.0,0.8
57,1.9063545150501704,0.0,0.8
58,1.9397993311036772,0.0,0.8
59,1.9732441471571929,0.0,0.8
60,2.0066889632106997,0.0,0.8
61,2.0401337792642154,0.0,0.8
62,2.0735785953177217,0.0,0.8
63,2.107023411371238,0.0,0.8
64,2.1404682274247535,0.0,0.8
65,2.17391304347826,0.0,0.8
66,2.207357859531776,0.0,0.8
67,2.2408026755852823,0.0,0.8
68,2.274247491638798,0.0,0.8
69,2.307692307692305,0.0,0.8
70,2.3411371237458205,0.0,0.8
71,2.3745819397993273,0.0,0.8
72,2.408026755852843,0.0,0.8
73,2.4414715719063587,0.0,0.8
74,2.4749163879598655,0.0,0.8
75,2.508361204013381,0.0,0.8
76,2.541806020066888,0.0,0.8
77,2.5752508361204036,0.0,0.8
78,2.6086956521739104,0.0,0.8
79,2.642140468227426,0.0,0.8
80,2.675585284280933,0.0,0.8
81,2.7090301003344486,0.0,0.8
82,2.7424749163879643,0.0,0.8
83,2.775919732441471,0.0,0.8
84,2.8093645484949867,0.0,0.8
85,2.842809364548493,0.0,0.8
86,2.876254180602009,0.0,0.8
87,2.9096989966555156,0.0,0.8
88,2.9431438127090312,0.0,0.8
89,2.976588628762538,0.0,0.8
90,3.0100334448160537,0.0,0.8
91,3.0434782608695605,0.0,0.8
92,3.076923076923076,0.0,0.8
93,3.110367892976592,0.0,0.8
